Category,CategroyDescription,Parameter,ParameterDescription,Type
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",использует платный тариф об,признак платного тарифа (оплачен) в рамках подключенного продукта в указанном периоде,boolean
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",оплатил об,"флаг наличия оплаты текущего подключения в рамках продукта об: если клиент использует бесплатный тариф, в поле всегда будет false, в случае платного тарифа может быть 1 из 2 значений: true / false",boolean
продукт: торговый эквайринг,"терминалы с онлайн-зачислением, кассы 2 в1 , эквайринг в смартфоне",продукт работающий,хотя бы 1 совершенная операция на терминале клиента в отчетном периоде (не по счету),string
продукт: торговый эквайринг,"терминалы с онлайн-зачислением, кассы 2 в1 , эквайринг в смартфоне",продукт активен,у клиента есть операции по продукту за текущий месяц,string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",кол-во дней с последней смены тарифа,период в днях между последней сменой счета на открытом базовом счете и текущим днём,integer
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",есть депозитный счет,"в витрине счетов есть хотя бы 1 счет в рамках юл с условием: substr(num,1,2) = '42'",boolean
продукт: точка обороты,точка обороты,количество подключений,сколько раз клиент за всю жизнь клиент подключал точка обороты,integer
продукт: точка обороты,точка обороты,дата первого подключения,дата первого подключения продукта точка обороты. null - никогда не было подключения,date
продукт: точка обороты,точка обороты,дата первой активности,"дата первой активности по продукту точка обороты за всю жизнь клиента. первая активность может быть до начала последнего подключения, если это не первое подключение для клиента. null - никогда не было продукта точка обороты или никогда не было операций по продукту.",date
продукт: точка обороты,точка обороты,подходит для получения финансирования в оборотах,true - клиент проверен по базовым стоп-факторам и прошёл предварительные проверки Оборотов. Источник данных: ato_team.tcf_prescore_view_ok_clients,boolean
продукт: точка обороты,точка обороты,не рекомендован к продаже,true - клиенту не рекомендуется предлагать точка обороты по данным треугольников (new_triangles_team.temp_triangles_dwh). false - нет стоп-факторов по оборотам.,boolean
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",есть активная подписка,флаг наличия активной подписки в рамках периода и типа продукта,boolean
продукт: сбп qr,"возможность принимать платежи по qr коду. клиент распечатывает qr код, его контрагент сканирует и оплачивает",продукт активен,у клиента есть операции по продукту за текущий месяц,string
продукт: торговый эквайринг,"терминалы с онлайн-зачислением, кассы 2 в1 , эквайринг в смартфоне",период использования продукта,"кол-во дней, в рамках периода активности всех контрактов по клиенту / 30 (грубо берем месяц = 30 дней). группы по периоду пользования: 1-3 месяца, 4-6 месяцев, 6-12 месяцев, 1-2 года, более 2 лет, нет данных - если клиент не пользовался продуктом",string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",дней после орс,количество дней с последнего открытия расчётного счёта до сегодняшнего дня.,integer
селлеры,признаки сегмента селлеры,список маркетов,"Список маркетплейсов, от которых были поступления на счёт. Возможные значения: Wildberries, Ozon, Яндекс Маркет.",string
селлеры,признаки сегмента селлеры,сумма поступлений,сумма поступлений от маркетплейсов за последний закрытый календарный месяц,integer
селлеры,признаки сегмента селлеры,Сумма поступлений WB,сумма поступлений от WB за последний закрытый календарный месяц,integer
Базовый административный профиль,Юридические и регистрационные данные компании.,оквэд основной,код основного оквэд.,string
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,новорег (регистрация через точку),"от даты регистрации бизнеса в егрюл прошло не больше 60 дней, это первая регистрация по данным егрюл, регистрировал бизнес через точка банк",boolean
селлеры,признаки сегмента селлеры,использовал триал единого кабинета селлера,"Признак использования пробного периода в ЕК. Значение 1 означает, что триал был. Значение 0 означает, что триал не найден.",boolean
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,источники определения селлера,"Показывает, по какому источнику клиент попал в выборку:  • “Поступления на ТБ” — у клиента были поступления от маркетплейсов на счёт в банке;  • “Парсинг” — клиент найден в парсинге селлеров WB/Ozon;  • “Поступления на ТБ, Парсинг” — клиент найден в обоих источниках.",string
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,ML сегментация: вид деятельности,"Вид деятельности клиента, определённый ML моделью на основе внешних и внутрибанковских данных о клиенте. Это первый уровень детализации, более обобщённый. Клиенту могут присвоены несколько сегментов, в таком случае они указываются через запятую.",string
селлеры,признаки сегмента селлеры,"месяц последней выручки ","Последний месяц, за который клиент был найден в данных парсинга WB/Ozon.",date
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,ironwall: текущий корневой сегмент,"Верхнеуровневая отрасль деятельности по логике Кроссов (ironwall), выделены целевые сегменты согласно стратегии Точки",string
продукт: точка обороты,точка обороты,есть активный договор,"true - на сегодняшний день у клиента есть активное подключение продукта точка обороты, false - не подключены.",boolean
продукт: точка обороты,точка обороты,текущее подключение является первым,"true - текущее подключение продукта точка обороты является первым для клиента, false - клиент никогда не подключал точка обороты или текущее подключение не является первым",boolean
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",тип продукта в рамках об,"тип продукта в рамках об: pob (платная об), bob (бесплатная об), ausn_bob (бесплатная аусн) и тд",string
продукт: сбп qr,"возможность принимать платежи по qr коду. клиент распечатывает qr код, его контрагент сканирует и оплачивает",статус продукта в текущем месяце,"подключен/действует - есть хотя бы 1 открытый контракт в статусе ""Новый"" или ""Действует"", закрыт в последние 3 мес - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта в рамках последних 3 месяцев, закрыт >3 мес назад - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта более 3 месяцев назад, не был подключен - в остальных случаях",string
продукт: сбп qr,"возможность принимать платежи по qr коду. клиент распечатывает qr код, его контрагент сканирует и оплачивает",нельзя предлагать продукт клиенту,"признаки из таблицы new_triangles_team.temp_triangles_dwh , что конкретному клиенту нельзя предлагать продукт СБП QR: 1 - нельзя предлагать, 0 - нет ограничений на продвижение",boolean
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,ironwall: приоритетный сегмент по клиенту,"Самый приоритетный сегмент по клиенту (по отрасли или по доходности или по возрасту), определяющий стратегию продвижения продуктов",string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",канал продаж,канал продажи рко. определяется через канал привлечения.,string
продукт корпоративная карта (покупки),"для ип корп карта = карта физ лица. ип могут оплачивать как покупки связанные с бизнесом и нужные учитывать в расходах, так и личные покупки, в таком случае траты не включаются в расходы.\nдля юл карта это инструмент оплаты нужд бизнеса. подотчётные средства, командировочные расходы, канцелярия и хозтовары для офиса и т.д.",продукт активен,"подключенный продукт - есть активированная карта, закрытый продукт - нет ни одной активной карты",string
селлеры,признаки сегмента селлеры,Является новым в парсинге,"Признак нового селлера в данных парсинга. Значение 1 означает, что клиент недавно появился в парсинге. Значение 0 означает, что клиент не считается новым по логике парсинга.",boolean
селлеры,признаки сегмента селлеры,Месяц последнего поступления от маркетплейсв,"Последний месяц, в котором у клиента были поступления от маркетплейсов на счёт в банке.",date
селлеры,признаки сегмента селлеры,зарегестрирован в едином кабинете селлера,"Признак регистрации клиента в ЕК. Значение 1 означает, что регистрация найдена. Значение 0 означает, что регистрация не найдена.",boolean
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",клиент является агентом,клиент является агентом-партнёром по данным из stage.agents_agent_company_and_person,boolean
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",есть бухгалтер,у клиента есть свой бухгалтер по данным life_time_user.cross_client_buh,boolean
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",тариф,название тарифа по последнему договору рко.,string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",дата открытия юл,"дата регистрации базового счёта с учетом того, что за 31 день до его открытия у клиента нет других базовых счетов. таких дат у клиента может быть несколько, если он проходил через цепочку: открытие базового счета —> закрытие всех расчетных счетов —> открытие нового базового счета.  методика:  дата регистрации расчетного счета с признаком нового счета.",date
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",срок жизни в точке,"срок жизни компании в точке: для закрытых берем срок от орс до даты закрытия последнего счета, для открытых берем срок от орс до текущего дня.",string
продукт подписка плюс,сервис периодических подписок для клиента с предложением особых условий продуктов и услуг точки,нельзя предлагать продукт клиенту,"признаки из таблицы new_triangles_team.temp_triangles_dwh , что конкретному клиенту нельзя предлагать продукт Подписка Плюс: 1 - нельзя предлагать, 0 - нет ограничений на продвижение",boolean
продукт: интернет-эквайринг (точка),"даёт возможность клиентам, продающим в интернете принимать оплаты картами или через qr коды сбп",продукт активен,у клиента есть операции по продукту за текущий месяц,string
продукт калькулятор торговый дом,,нельзя предлагать продукт клиенту,"признаки из таблицы new_triangles_team.temp_triangles_dwh , что конкретному клиенту нельзя предлагать продукт Калькулятор Торговый дом: 1 - нельзя предлагать, 0 - нет ограничений на продвижение",boolean
Базовый административный профиль,Юридические и регистрационные данные компании.,возраст бизнеса,"срок жизни бизнеса с даты регистрации в егрюл: для ликвидированных - между датой регистрации и ликвидации в егрюл, для остальных - между датой регистрации в егрюл и текущей датой.",string
селлеры,признаки сегмента селлеры,Сумма поступлений YM,сумма поступлений от Яндекс Маркета за последний закрытый календарный месяц,integer
селлеры,признаки сегмента селлеры,Количество карточек WB,Количество карточек/товаров клиента на Wildberries по данным парсинга,integer
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,Анкета МКС: вид деятельности детализированно,"Вид деятельности клиента, определённый экспертной оценкой от МКС на входе клиента (ОРС с декабря 2024). Это второй уровень детализации, более детализированный.",string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания","промокод, используемый на орсе","промокод из promo, который использовал клиент при открытии последнего расчётного счёта.",string
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",начало подключения об,стартовая дата последнего подключения в рамках продукта онлайн-бухгалтерия,date
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",стоимость текущего подключения,признак только для платной версии об: стоимость тарифа в рублях,number
продукт: сбп qr,"возможность принимать платежи по qr коду. клиент распечатывает qr код, его контрагент сканирует и оплачивает",период использования продукта,"кол-во дней, в рамках периода активности всех контрактов по клиенту / 30 (грубо берем месяц = 30 дней). группы по периоду пользования: 1-3 месяца, 4-6 месяцев, 6-12 месяцев, 1-2 года, более 2 лет, нет данных - если клиент не пользовался продуктом",string
продукт: интернет-эквайринг (точка),"даёт возможность клиентам, продающим в интернете принимать оплаты картами или через qr коды сбп",нельзя предлагать продукт клиенту,"признаки из таблицы new_triangles_team.temp_triangles_dwh , что конкретному клиенту нельзя предлагать продукт Интернет-эквайринг (Точка): 1 - нельзя предлагать, 0 - нет ограничений на продвижение",boolean
Административные процессы,"Текущие процессы: смена директора, актуализация документов, управление доступами.",смена директора,"текущие процессы смены дира в организации и те, что завершились недавно (в последний месяц)",string
операционная активность компании,,флаг активного клиента,статус активности клиента в текущем месяце из витрины datamart.client_monthly,boolean
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,сегмент взрослый бизнес,от 20 млн выручки по прошлому году и/или кол-во сотрудников от 10 (включены клиенты персов),boolean
комплаенс и блокировки,"статус блокировок (фнс, внутренние), актуальность документов, риски зск",есть запрос комплаенс,по клиенту есть актуальный запрос комплаенс.,boolean
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",есть персональный менеджер,у клиента есть персональный менеджер.,boolean
Базовый административный профиль,Юридические и регистрационные данные компании.,кол-во сотрудников,количество сотрудников по данным от фнс.,integer
селлеры,признаки сегмента селлеры,Сумма поступлений Ozon,сумма поступлений от Ozon за последний закрытый календарный месяц,integer
селлеры,признаки сегмента селлеры,Количество карточек Ozon и WB,Общее количество карточек клиента на Wildberries и Ozon по данным парсинга,integer
селлеры,признаки сегмента селлеры,выручка wb,Суммарная выручка клиента по данным парсинга WB за последний закрытый календарный месяц,integer
селлеры,признаки сегмента селлеры,выручка ozon,Суммарная выручка клиента по данным парсинга Ozon за последний закрытый календарный месяц,integer
селлеры,признаки сегмента селлеры,выручка ozon и wb,Суммарная выручка клиента по данным парсинга WB/Ozon за последний закрытый календарный месяц,integer
селлеры,признаки сегмента селлеры,схема работы,"Схема работы селлера по данным парсинга:  • FBO — продажи со склада маркетплейса;  • FBS — продажи со склада продавца;  • FBO, FBS — используются обе схемы.",string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания","дней с открытия первого активного счета ",кол-во дней с открытия первого активного счета (день открытия первого счета будет со значением 1),integer
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",была смена тарифа,"хотя бы раз за время последней жизни у открытого счета с типом ""базовый"" была смена тарифа",boolean
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,"вероятность, что клиент селлер","Вероятность, что клиент селлер. Данные по клиенту есть в МПстатс или у клиента были поступления от МП  - 100%, клиента можно определить как селлера согласно профсуждению, анкете МКС и ОКВЭД - 60%, иначе 0%.",string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",номер жизни клиента в точке,порядковый номер жизни клиента.,integer
продукт: торговый эквайринг,"терминалы с онлайн-зачислением, кассы 2 в1 , эквайринг в смартфоне",статус продукта в текущем месяце,"подключен/действует - есть хотя бы 1 открытый контракт в статусе ""Новый"" или ""Действует"", закрыт в последние 3 мес - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта в рамках последних 3 месяцев, закрыт >3 мес назад - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта более 3 месяцев назад, не был подключен - в остальных случаях",string
продукт торговый дом вэд,сервис для ведения внешней экономической деятельности,продукт активен,"продукт считается активным в месяц, когда клиент оплатил заказ полностью, либо внес первую предоплату на поставку товара.",string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",канал привлечения,канал привлечения из анкеты клиента.,string
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,новорег (регистрация не через точку),"от даты регистрации бизнеса в егрюл прошло не больше 60 дней, это первая регистрация по данным егрюл, регистрировал бизнес не через точка банк",boolean
комплаенс и блокировки,"статус блокировок (фнс, внутренние), актуальность документов, риски зск",фрод статус,комплаенс-статус клиента. рассчитывается по собственной методике точки.,string
операционная активность компании,,дата последней рабочей операции,дата последней рабочей операции в рамках последней жизни клиента.,date
Базовый административный профиль,Юридические и регистрационные данные компании.,тип юл,"тип клиента. ип: индивидуальные предприниматели, нотариусы, адвокаты, главы крестьянских хозяйств. юл: всё остальное. ",string
Базовый административный профиль,Юридические и регистрационные данные компании.,организационно-правовая форма,расшифровка кода организационно-правовой формы.,string
Финансовое здоровье,"Финансовые показатели компании: обороты, динамика, кредитная нагрузка, просрочки",объем выручки за предыдущий год,"объем выручки за предыдущий год по данным из открытых источников и отчетности, предоставленной клиентами. ",number
Финансовое здоровье,"Финансовые показатели компании: обороты, динамика, кредитная нагрузка, просрочки",текущий баланс,сумма остатков на текущих счетах клиента.,number
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",кол-во активных счетов,"кол-во открытых счетов из витрины datamart.v_acc на основной тарифной линейке, с признаком ""базовый""",integer
продукт корпоративная карта (покупки),"для ип корп карта = карта физ лица. ип могут оплачивать как покупки связанные с бизнесом и нужные учитывать в расходах, так и личные покупки, в таком случае траты не включаются в расходы.\nдля юл карта это инструмент оплаты нужд бизнеса. подотчётные средства, командировочные расходы, канцелярия и хозтовары для офиса и т.д.",продукт работающий,"в отчетном периоде есть хотя бы одна покупка по карте в тсп, не учитываем p2p,  квази-деньги  и прочие специфические операции)",string
продукт подписка плюс,сервис периодических подписок для клиента с предложением особых условий продуктов и услуг точки,период использования продукта,"кол-во дней, в рамках периода активности всех контрактов по клиенту / 30 (грубо берем месяц = 30 дней). группы по периоду пользования: 1-3 месяца, 4-6 месяцев, 6-12 месяцев, 1-2 года, более 2 лет, нет данных - если клиент не пользовался продуктом",string
продукт подписка плюс,сервис периодических подписок для клиента с предложением особых условий продуктов и услуг точки,признак первого подключения продукта,"рассчитывается за всю последнюю жизнь клиента, показывает, является ли текущее подключение этого продукта первым в жизни: имеется всего 1 контракт за всю жизнь клиента или статус = ""Новый"". да - контракт единственный и в статусе ""Новый"", нет - в текущем месяце статус контракта ""Действует"" или контрактов больше 1, закрыт или не подключал - все контракты в статусе ""Закрыт"" или клиент никогда не пользовался продуктом",string
продукт подписка плюс,сервис периодических подписок для клиента с предложением особых условий продуктов и услуг точки,продукт работающий,в расчетный период (календарный месяц) у клиента есть активная подписка,string
продукт: сбп qr,"возможность принимать платежи по qr коду. клиент распечатывает qr код, его контрагент сканирует и оплачивает",признак первого подключения продукта,"рассчитывается за всю последнюю жизнь клиента, показывает, является ли текущее подключение этого продукта первым в жизни: имеется всего 1 контракт за всю жизнь клиента или статус = ""Новый"". да - контракт единственный и в статусе ""Новый"", нет - в текущем месяце статус контракта ""Действует"" или контрактов больше 1, закрыт или не подключал - все контракты в статусе ""Закрыт"" или клиент никогда не пользовался продуктом- ",string
продукт: интернет-эквайринг (точка),"даёт возможность клиентам, продающим в интернете принимать оплаты картами или через qr коды сбп",период использования продукта,"кол-во дней, в рамках периода активности всех контрактов по клиенту / 30 (грубо берем месяц = 30 дней). группы по периоду пользования: 1-3 месяца, 4-6 месяцев, 6-12 месяцев, 1-2 года, более 2 лет, нет данных - если клиент не пользовался продуктом",string
продукт: торговый эквайринг,"терминалы с онлайн-зачислением, кассы 2 в1 , эквайринг в смартфоне",признак первого подключения продукта,"рассчитывается за всю последнюю жизнь клиента, показывает, является ли текущее подключение этого продукта первым в жизни: имеется всего 1 контракт за всю жизнь клиента или статус = ""Новый"". да - контракт единственный и в статусе ""Новый"", нет - в текущем месяце статус контракта ""Действует"" или контрактов больше 1, закрыт или не подключал - все контракты в статусе ""Закрыт"" или клиент никогда не пользовался продуктом",string
продукт: торговый эквайринг,"терминалы с онлайн-зачислением, кассы 2 в1 , эквайринг в смартфоне",нельзя предлагать продукт клиенту,"признаки из таблицы new_triangles_team.temp_triangles_dwh , что конкретному клиенту нельзя предлагать продукт Торговый эквайринг: 1 - нельзя предлагать, 0 - нет ограничений на продвижение",boolean
продукт торговый дом вэд,сервис для ведения внешней экономической деятельности,нельзя предлагать продукт клиенту,"признаки из таблицы new_triangles_team.temp_triangles_dwh , что конкретному клиенту нельзя предлагать продукт Торговый Дом ВЭД: 1 - нельзя предлагать, 0 - нет ограничений на продвижение",boolean
операционная активность компании,,кол-во дней с последней рабочей операции,"кол-во дней с последнего платежа, который считается рабочей операцией",integer
операционная активность компании,,статус активности в текущем месяце,"статус клиента в текущем календарном месяце. если клиент подпадает под несколько категорий, то будет присвоена та, что идёт раньше по списку: закрыт комплаенс, ликвидирован, закрыт, новый клиент, не начал работать, работал, не работал 1 мес, не работал 2 мес, не работал 3-5 мес, не работал 6 мес. и больше. подробнее в datamart.client_monthly.",string
Административные процессы,"Текущие процессы: смена директора, актуализация документов, управление доступами.",есть стоп факторы для отправки рассылок,"""Да"" - у клиента есть стоп факторы. В список стоп факторов входят: полная блокировка, высокий уровень риска ЗСК, запрос комплаенс, коричневый фрод статус, совпадение со списком мошенников, клиент находится в процессе актуализации или в процессе смены директора, в процессе ликвидации или закрытия всех счетов",boolean
продукт калькулятор торговый дом,,статус продукта в текущем месяце,"подключен/действует - есть хотя бы 1 открытый контракт в статусе ""Новый"" или ""Действует"", закрыт в последние 3 мес - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта в рамках последних 3 месяцев, закрыт >3 мес назад - если все контракты по продукту со статусом ""Закрыт"" и максимальная дата закрытия контракта более 3 месяцев назад, не был подключен - в остальных случаях",string
продукт калькулятор торговый дом,,период использования продукта,"кол-во дней, в рамках периода активности всех контрактов по клиенту / 30 (грубо берем месяц = 30 дней). группы по периоду пользования: 1-3 месяца, 4-6 месяцев, 6-12 месяцев, 1-2 года, более 2 лет, нет данных - если клиент не пользовался продуктом",string
продукт калькулятор торговый дом,,признак первого подключения продукта,"рассчитывается за всю последнюю жизнь клиента, показывает, является ли текущее подключение этого продукта первым в жизни: имеется всего 1 контракт за всю жизнь клиента или статус = ""Новый"". да - контракт единственный и в статусе ""Новый"", нет - в текущем месяце статус контракта ""Действует"" или контрактов больше 1, закрыт или не подключал - все контракты в статусе ""Закрыт"" или клиент никогда не пользовался продуктом",string
продукт калькулятор торговый дом,,продукт работающий,"продукт в статусе ""подключен"" в текущем месяце",boolean
продукт калькулятор торговый дом,,продукт активен,у клиента есть операции по продукту за текущий месяц,string
продукт торговый дом вэд,сервис для ведения внешней экономической деятельности,период использования продукта,"кол-во дней, в рамках периода активности всех контрактов по клиенту / 30 (грубо берем месяц = 30 дней). группы по периоду пользования: 1-3 месяца, 4-6 месяцев, 6-12 месяцев, 1-2 года, более 2 лет, нет данных - если клиент не пользовался продуктом",string
продукт торговый дом вэд,сервис для ведения внешней экономической деятельности,признак первого подключения продукта,"рассчитывается за всю последнюю жизнь клиента, показывает, является ли текущее подключение этого продукта первым в жизни: имеется всего 1 контракт за всю жизнь клиента или статус = ""Новый"". да - контракт единственный и в статусе ""Новый"", нет - в текущем месяце статус контракта ""Действует"" или контрактов больше 1, закрыт или не подключал - все контракты в статусе ""Закрыт"" или клиент никогда не пользовался продуктом",string
продукт торговый дом вэд,сервис для ведения внешней экономической деятельности,продукт работающий,"продукт считается работающим в месяц, когда клиент оплатил заказ полностью, либо внес первую предоплату на поставку товара.",string
отрасль и стадия развития бизнеса,отрасль и стадия развития бизнеса,оквэд: текущий корневой сегмент,"Верхнеуровневая отрасль деятельности по основному ОКВЭД, выделены целевые сегменты согласно стратегии Точки",string
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",есть расчетный базовый счет,в витрине счетов есть хотя бы 1 счет в рамках юл с условиями: is_payment_acc=1 and is_basic_payment_acc=1 and curr_code='rub',boolean
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",есть расчетный валютный счет,в витрине счетов есть хотя бы 1 счет в рамках юл с условиями: is_payment_acc=1 and is_basic_payment_acc=1 and curr_code!='rub',boolean
обслуживание компании в банке,"как банк обслуживает компанию: наличие менеджера, тариф, скидки, индивидуальные условия, сроки обслживания",есть расчетный специальный счет,"в витрине счетов есть хотя бы 1 счет в рамках юл с условиями: is_payment_acc=1 and type_name in ('специальный счёт для участия в тендерах', 'номинальный счёт')",boolean
продукт: точка обороты,точка обороты,закрыт менее 3 месяцев назад,"true - у клиента ранее были подключены Обороты, последний договор был закрыт менее 3 месяцев назад, false - сейчас есть активный договор или договор закрыт более 3 месяцев назад или у клиента никогда не было продукта ",boolean
продукт: точка обороты,точка обороты,дата последней активности,"дата последней активности по продукту точка обороты за всю жизнь клиента. последняя активность может быть до начала последнего подключения, если это не первое подключение для клиента и в последнем подключении ещё не было активности. null - никогда не было продукта точка обороты или никогда не было операций по продукту.",date
продукт онлайн-бухгалтерия,"платная онлайн-бухгалтерия для клиентов на всех тарифах. включает в себя расчёт налогов и взносов, подготовку декларации, выпуск кэп, загрузку выписки 1с и мультибанк, копилку, сверку, эдо с госорганами, заявления на патент, совмещения расчетов с патентом",конец подключения об,"дата завершения последнего подключения в рамках продукта онлайн-бухгалтерия: если клиент отключил сам раньше окончания периода действия, будет проставлена дата отключения клиентом, иначе - дата окончания оплаченного периода",date
